Time,ElapsedTime,x,y,z
19:52:42.242,12371.7837,0.2928021,1.41361,-0.8578244
19:52:42.342,12471.8478,0.3098485,1.414325,-0.8421063
19:52:42.453,12582.7251,0.3234953,1.415512,-0.8293272
19:52:42.564,12694.0446,0.3291823,1.416998,-0.8186003
19:52:42.674,12803.8101,0.336395,1.41908,-0.8103987
19:52:42.776,12905.6822,0.3433233,1.420471,-0.8037312
19:52:42.885,13015.3353,0.3484632,1.42124,-0.8004662
19:52:42.997,13127.0308,0.3508918,1.423629,-0.799742
19:52:43.097,13227.2988,0.3528204,1.42556,-0.8000685
19:52:43.209,13339.1141,0.3526375,1.42763,-0.8010895
19:52:43.319,13449.1514,0.3514185,1.43282,-0.8008108
19:52:43.430,13560.5858,0.3505031,1.437083,-0.8006887
19:52:43.541,13671.1265,0.3470044,1.441821,-0.8004041
19:52:43.653,13782.6386,0.3430887,1.450829,-0.8000823
19:52:43.762,13892.4596,0.3415155,1.457827,-0.7995226
19:52:43.863,13993.1275,0.3411248,1.461594,-0.7986679
19:52:43.974,14103.6362,0.3415732,1.464017,-0.7968453
19:52:44.075,14204.6683,0.3440661,1.463365,-0.7965399
19:52:44.184,14314.0875,0.3467809,1.461738,-0.7956563
19:52:44.284,14414.4902,0.3481869,1.463028,-0.7918814
19:52:44.385,14515.3663,0.3457061,1.464458,-0.7907287
19:52:44.497,14626.8752,0.344348,1.465456,-0.7911158
19:52:44.607,14737.0724,0.3467202,1.467175,-0.7850075
19:52:44.707,14837.1132,0.3532349,1.466081,-0.7771536
19:52:44.807,14937.5691,0.3559408,1.464647,-0.7715096
19:52:44.919,15049.284,0.3548934,1.465663,-0.767063
19:52:45.029,15159.1094,0.3541844,1.46497,-0.7657195
19:52:45.129,15259.5322,0.35166,1.465979,-0.7629324
19:52:45.240,15370.4146,0.3479437,1.466796,-0.766736
19:52:45.341,15470.6688,0.3458539,1.467546,-0.7678957
19:52:45.451,15581.0701,0.3478386,1.467844,-0.763314
19:52:45.551,15681.1372,0.3480756,1.46539,-0.7622
19:52:45.651,15781.509,0.3452866,1.465934,-0.763166
19:52:45.763,15893.0777,0.3412087,1.467434,-0.7654257
19:52:45.874,16003.8195,0.3405628,1.465495,-0.7695636
19:52:45.984,16114.5471,0.3382146,1.464896,-0.7709185
19:52:46.095,16225.4054,0.3356467,1.463911,-0.7720201
19:52:46.196,16326.2022,0.3325876,1.464446,-0.7726624
19:52:46.307,16436.8457,0.3298501,1.465836,-0.7727513
19:52:46.417,16547.0966,0.3293232,1.465016,-0.7733482
19:52:46.518,16647.9131,0.3277835,1.465047,-0.772941
19:52:46.618,16748.4217,0.3264518,1.465276,-0.7722384
19:52:46.729,16859.2083,0.3268807,1.466315,-0.771226
19:52:46.839,16969.5882,0.3274564,1.466452,-0.7704971
19:52:46.950,17079.8487,0.3283584,1.465692,-0.7709309
19:52:47.050,17180.3784,0.3296682,1.466218,-0.7700777
19:52:47.151,17281.0545,0.3303269,1.468159,-0.7679163
19:52:47.261,17391.1792,0.3316516,1.467954,-0.767863
19:52:47.373,17503.4191,0.3335654,1.468891,-0.7670588
19:52:47.483,17612.7241,0.3358852,1.469356,-0.7672851
19:52:47.584,17713.9776,0.3390164,1.466301,-0.7708958
19:52:47.695,17824.6368,0.3420784,1.46539,-0.7725248
19:52:47.795,17924.7829,0.3441619,1.465728,-0.7723606
19:52:47.906,18036.0269,0.3468164,1.464864,-0.7743657
19:52:48.017,18147.6017,0.3489795,1.46453,-0.776052
19:52:48.128,18258.3256,0.3510109,1.464382,-0.7772758
19:52:48.229,18358.7066,0.3534778,1.464024,-0.7792754
19:52:48.339,18469.038,0.3552929,1.465034,-0.7808359
19:52:48.449,18579.4753,0.3571309,1.465558,-0.7836491
19:52:48.551,18680.7701,0.3583752,1.465209,-0.7868112
19:52:48.660,18790.6079,0.3594055,1.464164,-0.790994
19:52:48.761,18891.2882,0.3597689,1.46388,-0.7936796
19:52:48.872,19002.4616,0.3604196,1.460198,-0.7973222
19:52:48.973,19103.352,0.3671913,1.450131,-0.805813
19:52:49.084,19213.9465,0.3824331,1.432688,-0.8192757
19:52:49.194,19323.8887,0.409467,1.410925,-0.8408426
19:52:49.294,19424.2815,0.4384588,1.376703,-0.8736688
19:52:49.394,19524.5018,0.4634079,1.322664,-0.9189316
19:52:49.495,19624.837,0.4799043,1.249766,-0.9690596
19:52:49.605,19735.1549,0.4955552,1.141115,-1.042178
19:52:49.705,19835.1881,0.5135577,1.017988,-1.104568
19:52:49.805,19935.3147,0.5254343,0.8821682,-1.142314
19:52:49.915,20045.5774,0.4933619,0.7050285,-1.166331
19:52:50.016,20145.88,0.4487873,0.5596812,-1.175115
19:52:50.127,20256.8384,0.4058505,0.4225443,-1.176457
19:52:50.227,20357.2755,0.3790537,0.3250005,-1.18039
19:52:50.338,20468.2227,0.363036,0.2470146,-1.183046
19:52:50.449,20579.2895,0.3516871,0.1929705,-1.186637
19:52:50.560,20690.239,0.3266152,0.1580729,-1.181406
19:52:50.671,20800.8217,0.358551,0.1227177,-1.217609
19:52:50.771,20901.3865,0.3529723,0.105867,-1.220742
19:52:50.881,21011.5818,0.3368301,0.0868966,-1.214918
19:52:50.982,21111.9892,0.3398206,0.08541862,-1.216711
19:52:51.093,21223.3897,0.3387287,0.09176143,-1.21644
19:52:51.203,21333.4409,0.3385252,0.09472363,-1.21575
19:52:51.304,21433.6596,0.3387896,0.09562217,-1.215842
19:52:51.404,21534.484,0.3371468,0.09392405,-1.215088
19:52:51.515,21645.5926,0.3387058,0.09416868,-1.21514
19:52:51.627,21756.9029,0.3385401,0.09404574,-1.214849
19:52:51.737,21867.5302,0.3388466,0.09387349,-1.214655
19:52:51.837,21967.5479,0.3386742,0.09364229,-1.215159
19:52:51.948,22078.2143,0.3381208,0.09314313,-1.21505
19:52:52.048,22178.3881,0.3399018,0.09302776,-1.213904
19:52:52.159,22289.2176,0.3386147,0.09312596,-1.215177
19:52:52.260,22389.7248,0.3389347,0.09329903,-1.213541
19:52:52.370,22499.9465,0.3396771,0.09322076,-1.213875
19:52:52.470,22600.1876,0.3397855,0.09304648,-1.21306
19:52:52.581,22710.7291,0.3400005,0.09315057,-1.212563
19:52:52.681,22810.8502,0.3402631,0.09342434,-1.210862
19:52:52.781,22911.4642,0.3400695,0.09281722,-1.212233
19:52:52.893,23023.0412,0.3402165,0.09314568,-1.210993
19:52:53.003,23133.0284,0.3397634,0.09301212,-1.211624
19:52:53.103,23233.1832,0.3406507,0.09328856,-1.211783
19:52:53.214,23343.9256,0.3402892,0.0929652,-1.211085
19:52:53.314,23444.4689,0.3402085,0.09276929,-1.21046
19:52:53.425,23555.473,0.3408443,0.09303436,-1.209683
19:52:53.537,23666.9744,0.3406404,0.09280691,-1.208635
19:52:53.647,23776.7647,0.3411154,0.09247418,-1.20932
19:52:53.747,23876.9784,0.3417232,0.09284432,-1.208263
19:52:53.847,23977.2467,0.34128,0.09250646,-1.20819
19:52:53.958,24088.2163,0.3418255,0.09276044,-1.206927
19:52:54.059,24188.6224,0.3412765,0.09216985,-1.207395
19:52:54.159,24289.2148,0.3415631,0.09270273,-1.206198
19:52:54.270,24399.9846,0.3420469,0.09287171,-1.205871
19:52:54.380,24510.3084,0.3417557,0.09262796,-1.20593
19:52:54.491,24620.7287,0.3421481,0.09291059,-1.205
19:52:54.592,24721.8656,0.3419218,0.09265864,-1.204965
19:52:54.702,24831.7143,0.3426119,0.09273862,-1.204586
19:52:54.802,24932.2346,0.3430014,0.09304297,-1.20431
19:52:54.913,25043.5348,0.3426435,0.0928323,-1.203724
19:52:55.014,25143.7641,0.3430305,0.09293602,-1.20352
19:52:55.114,25243.9519,0.3426777,0.09253273,-1.203579
19:52:55.224,25354.5769,0.3427476,0.09238717,-1.203411
19:52:55.335,25465.0233,0.3432317,0.09281539,-1.202778
19:52:55.435,25565.272,0.3433335,0.09265757,-1.202388
19:52:55.535,25665.4892,0.3434479,0.09277111,-1.202191
19:52:55.647,25776.828,0.343078,0.09251258,-1.202235
19:52:55.758,25888.1038,0.3435405,0.09257521,-1.202025
19:52:55.869,25999.4672,0.3438923,0.09285565,-1.200995
19:52:55.979,26109.6148,0.3440193,0.09270397,-1.201223
19:52:56.080,26209.7963,0.3438299,0.09241806,-1.201397
19:52:56.191,26321.4759,0.3442808,0.09264532,-1.200719
19:52:56.301,26431.1792,0.3441892,0.09247459,-1.20052
19:52:56.414,26543.8685,0.343987,0.09206668,-1.200943
19:52:56.524,26653.8428,0.3441474,0.09217966,-1.200542
19:52:56.628,26758.2185,0.3445292,0.092545,-1.199961
